Source,Destination,Departure,Arrival,Aircraft type,Airlines,,,,,
SEA,DEN,12:35,16:21,Boeing 737-900 ,United 738,,,,,
SEA,ATL,11:33,19:13,Boeing 757-300,Delta 2922,,,,,
SEA,ATL,13:58,21:39,Boeing 737-900 ,Delta 436,,,,,
SEA,ATL,06:15,14:00,Boeing 757-200 ,Delta 1044,,,,,
SEA,ATL,09:45,17:31,Boeing 757-200,Delta 1870,,,,,
ATL,SEA,08:11,10:44,Boeing 757-200 ,Delta 609,,,,,
ATL,DEN,07:00,08:33,Boeing 737-800 ,United 533,,,,,
ATL,DEN,21:14,22:39,Boeing 737-900 ,Delta 776,,,,,s
ATL,DEN,18:39,20:05,Boeing 737-900 ,Delta 633,,,,,
ATL,DEN,16:34,18:10,Airbus A320 ,United 2308,,,,,
ATL,DEN,13:19,14:58,Embraer 170 ,United 3405 operated by Republic Airlines DBA United Express,,,,,
ATL,DEN,20:01,21:40,Embraer 170 ,United 3562 operated by Republic Airlines DBA United Express,,,,,
ATL,DEN,13:16,14:38,Boeing 737-900 ,Delta 1355,,,,,
ATL,DEN,11:55,13:17,Boeing 737-900 ,Delta 2590,,,,,
ORD,JFK,15:09,18:35,Canadair Regional Jet 900,Delta 4760 operated by Endeavor Air DBA Delta Connection,,,,,
ORD,JFK,11:44,14:57,Boeing 737-800 ,American Airlines 272,,,,,
ORD,JFK,06:00,09:13,Canadair Regional Jet 900,Delta 4851 operated by Endeavor Air DBA Delta Connection,,,,,
ORD,JFK,18:52,22:22,Canadair Regional Jet 900,Delta 5223 operated by Endeavor Air DBA Delta Connection,,,,,
ORD,JFK,10:35,13:56,Canadair Regional Jet 900,Delta 4957 operated by Endeavor Air DBA Delta Connection,,,,,
ORD,SFO,07:04,10:00,Boeing 737-800 ,American Airlines 345,,,,,
ORD,SFO,08:30,11:08,Boeing 777-200 ,United 761,,,,,
ORD,SFO,10:00,12:46,Boeing 757-300 ,United 1891,,,,,
ORD,SFO,11:25,14:22,Boeing 737-900 ,United 499,,,,,
ORD,SFO,18:11,21:10,Boeing 737-900 ,United 422,,,,,
ORD,SFO,20:33,23:32,Boeing 757-300 ,United 1742,,,,,
ORD,SFO,06:00,08:43,Boeing 737-800 ,United 2166,,,,,
ORD,SFO,16:05,18:54,Boeing 757-300 ,United 248,,,,,
ORD,SFO,13:00,15:53,Airbus A320 ,United 1790,,,,,
ATL,DEN,15:00,16:26,Airbus A319 ,Delta 498,,,,,
ATL,DEN,08:12,09:40,Boeing 737-900 ,Delta 1816,,,,,
ATL,DEN,09:55,11:21,Boeing 757-300,Delta 1547,,,,,
ATL,ORD,07:45,09:02,Boeing 737-900 ,United 251,,,,,
ATL,ORD,21:45,23:05,Embraer 175 (Enhanced Winglets) ,United 4288 operated by Expressjet Airlines DBA United Express,,,,,
ATL,ORD,13:42,14:55,Airbus A319 ,United 260,,,,,
ATL,ORD,15:41,16:55,Embraer 175 (Enhanced Winglets) ,United 5921 operated by Skywest DBA United Express,,,,,
ATL,ORD,10:48,12:05,Boeing 737-800 ,United 241,,,,,
ATL,ORD,19:05,20:25,Embraer 175 (Enhanced Winglets) ,United 3400 operated by Republic Airlines DBA United Express,,,,,
ATL,ORD,15:05,16:11,Boeing (Douglas) MD-88,Delta 1612,,,,,
ATL,ORD,11:18,12:25,Boeing (Douglas) MD-88,Delta 812,,,,,
ATL,ORD,20:43,21:50,Boeing 717,Delta 1958,,,,,
ATL,ORD,16:10,17:20,Boeing (Douglas) MD-88,Delta 1906,,,,,
ATL,ORD,19:24,20:34,Boeing 717,Delta 2617,,,,,
ATL,ORD,19:56,21:06,Embraer 175,American Airlines 4154 operated by Envoy Air As American Eagle,,,,,
ATL,ORD,06:12,07:23,Airbus A319,American Airlines 2893,,,,,
ATL,ORD,07:45,08:56,Airbus A319,American Airlines 1574,,,,,
ATL,ORD,17:53,19:17,Airbus A319,American Airlines 1691,,,,,
ATL,ORD,22:42,23:37,Airbus A321,Delta 2357,,,,,
